serial_number,circular_number,title,date,detail_url,canonical_url,source_url,scraped_at
46,DOR.AML.REC.68/14.06.001/2023-24,"Implementation of Section 51A of UAPA, 1967 Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List Amendments in 07 Entries",2024-01-06,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12596&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12596&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
47,DOR.AML.REC.67/14.06.001/2023-24,"Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005 : Designated List (Amendments)",2024-01-06,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12595&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12595&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
48,DOR.AML.REC.65/14.06.001/2023-24,"Designation of 2 Individuals as 'Terrorists' under Section 35(1)(a) of the Unlawful Activities (Prevention)Act (UAPA), 1967 and their Listing in the Schedule IV of the Act - Reg.",2024-01-02,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12591&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12591&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
49,DOR.AML.REC.56/14.06.001/2023-24,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267/1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Amendments in 05 Entries",2023-11-15,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12566&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12566&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
50,DOR.AML.REC.33/14.06.001/2023-24,"Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005 : Designated List (Amendments)",2023-08-18,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12530&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12530&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
51,DOR.AML.REC.26/14.06.001/2023-24,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267/1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Amendments in 02 Entries",2023-07-24,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12524&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12524&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
52,DoR.RET.REC.25/12.07.160/2023-24,"Inclusion of 'NongHyup Bank' in the Second Schedule of the Reserve Bank of India Act, 1934",2023-07-18,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12523&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12523&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
53,DOR.AML.REC.23/14.06.001/2023-24,"Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005 : Designated List (Consolidated)",2023-07-04,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12521&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12521&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
54,DOR.AML.REC.24/14.06.001/2023-24,"Implementation of Section 12A of the Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Act, 2005 : Designated List (Amendments)",2023-07-04,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12522&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12522&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
55,DOR.AML.REC.17/14.06.001/2023-24,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Removal of 02 Entries from Sanction List",2023-06-06,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12508&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12508&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
