date,title,detail_url,canonical_url,pdf_url,source_url,scraped_at
2026-05-08,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Fifth Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13446&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13446&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT799FE6755C8A644D72931699FE567462DF.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (All India Financial Institutions – Credit Risk Management) Second Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13441&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13441&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT752DAD9CA8852D44C2B753E1DC2D55CAEE.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (All India Financial Institutions – Responsible Business Conduct) Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13440&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13440&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT740065426D194A4603B4FED6A214ED91FC.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (All India Financial Institutions – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13439&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13439&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT733993494567454CCB8FC148E2546EBE50.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (All India Financial Institutions – Resolution of Stressed Assets) Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13437&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13437&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT7220E40A0878454895A477E10DCBB3734A.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (Non-Banking Financial Companies – Credit Risk Management) Second Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13435&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13435&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT7151967911774A451BBD157AB5ED06AC3D.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (Non-Banking Financial Companies – Responsible Business Conduct) Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13431&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13431&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT703927F39626314DC8B6C58614A0D629AC.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (Non-Banking Financial Companies – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13428&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13428&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT694BE5A2EF10BB4AA3A99A861657BDFEF4.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (Non-Banking Financial Companies – Resolution of Stressed Assets) Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13424&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13424&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT68BFB45413680C4BC0B7435DA1DCED5EA0.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
2026-04-29,"Reserve Bank of India (Rural Cooperative Banks – Credit Risk Management) Second Amendment Directions, 2026",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13436&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13436&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT670E0ED3EC6A264EF291F242EAC68D61D8.PDF,https://www.rbi.org.in/Scripts/Fs_AmendmentDirections.aspx,2026-05-30T11:21:17.094152+00:00
