year,row_count
1977,1
1980,2
1981,1
1982,2
1986,1
1988,3
1990,3
1991,7
1992,1
1993,2
1994,9
1995,11
1996,13
1997,5
1998,5
1999,6
2000,8
2001,3
2002,12
2003,15
2004,31
2005,65
2006,44
2007,63
2008,25
2009,24
2010,107
2011,64
2012,88
2013,34
2014,62
2015,67
2016,14
2017,21
2018,9
2019,25
2020,28
2021,16
2022,22
2023,18
2024,24
2025,20
2026,5
