year,row_count
1997,2
1998,2
1999,6
2000,12
2001,20
2002,24
2003,14
2004,450
2005,756
2006,726
2007,858
2008,994
2009,858
2010,1166
2011,1138
2012,1294
2013,1258
2014,1244
2015,1118
2016,738
2017,476
2018,388
2019,520
2020,422
2021,364
2022,412
2023,268
2024,278
2025,404
2026,386
