year,row_count
1991,1
1992,1
1993,2
1994,1
1995,1
1997,2
1998,17
1999,94
2000,149
2001,160
2002,341
2003,321
2004,510
2005,386
2006,364
2007,541
2008,517
2009,469
2010,558
2011,545
2012,675
2013,657
2014,579
2015,575
2016,515
2017,344
2018,223
2019,256
2020,160
2021,133
2022,146
2023,103
2024,114
2025,417
2026,209
