year,row_count
2003,1
2004,14
2005,62
2006,71
2007,78
2008,80
2009,85
2010,88
2011,89
2012,92
2013,92
2014,91
2015,96
2016,11
2017,10
2018,9
2019,10
2020,6
2021,14
2022,23
2023,18
2024,17
2025,17
